Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20264253973.7858,20616104298.4975,19215562179.0117,19469022207.6852,20815300220.0428
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2101624962.5,3632043907.97733,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12776277515.48,13228244357.1813,11386931489.7968,11883682170.8236,13039352743.9616
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62045099642.7774,54790245600.5846,171000691877.714,137211039898.193,161207268655.392,200019057307.655,209058991952.125,209755003250.664,213810022462.428,165874330876.321,159049096745.249,170370810917.971
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,563000000,678000000,576000000,574000000,644000000,641000000,643000000,659000000,658000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1029048481.88051,1434429703.33518,4007353156.58415,3660530702.97305,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.32501,3350736367.25488,2811489408.89431,2877311946.90265,3012914131.16971
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,11228764963.1618,9129594818.60749,84178035578.8223,75492385928.3332,82526143645.0623,104115807985.965,113923162050.111,124912503781.148,126730196125.425,102621215573.456,95337203468.1156,124209385825.22
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,459469074.074074,830158777.777778,1368431037.03704,1224253000,1152469074.07407,1142042925.92593,1211411703.7037,1192925407.40741,1280133333.33333,1364863037.03704,1460144703.7037,1532397555.55556
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352368714.691,284203750000,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,554860945013.62,637590419269.324
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838858.42714,1911563665.39006,11662040713.8753,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10546135160.031,11536590635.8268
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,..,1873452513.96648,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,..,..,..,..,..,..
